training set data:
utt_id: rms_a0001, utt_len: 597
utt_id: rms_a0175, utt_len: 721
utt_id: rms_a0176, utt_len: 807
utt_id: rms_a0177, utt_len: 761
utt_id: rms_a0178, utt_len: 913
utt_id: rms_a0179, utt_len: 613
utt_id: rms_a0180, utt_len: 695
utt_id: rms_a0181, utt_len: 549
utt_id: rms_a0182, utt_len: 601
utt_id: rms_a0183, utt_len: 485
utt_id: rms_a0185, utt_len: 645
utt_id: rms_a0186, utt_len: 873
utt_id: rms_a0187, utt_len: 659
utt_id: rms_a0188, utt_len: 747
utt_id: rms_a0189, utt_len: 731
utt_id: rms_a0190, utt_len: 747
utt_id: rms_a0191, utt_len: 825
utt_id: rms_a0192, utt_len: 347
utt_id: rms_a0193, utt_len: 353
utt_id: rms_a0194, utt_len: 479
utt_id: rms_a0195, utt_len: 405
utt_id: rms_a0196, utt_len: 655
utt_id: rms_a0197, utt_len: 769
utt_id: rms_a0199, utt_len: 877
utt_id: rms_a0200, utt_len: 807
utt_id: rms_a0201, utt_len: 557
utt_id: rms_a0202, utt_len: 961
utt_id: rms_a0203, utt_len: 527
utt_id: rms_a0204, utt_len: 681
utt_id: rms_a0205, utt_len: 459
utt_id: rms_a0206, utt_len: 627
utt_id: rms_a0208, utt_len: 823
utt_id: rms_a0209, utt_len: 627
utt_id: rms_a0210, utt_len: 695
utt_id: rms_a0212, utt_len: 947
utt_id: rms_a0213, utt_len: 931
utt_id: rms_a0214, utt_len: 681
utt_id: rms_a0215, utt_len: 347
utt_id: rms_a0216, utt_len: 889
utt_id: rms_a0217, utt_len: 913
utt_id: rms_a0218, utt_len: 627
utt_id: rms_a0219, utt_len: 927
utt_id: rms_a0220, utt_len: 697
utt_id: rms_a0221, utt_len: 561
utt_id: rms_a0222, utt_len: 689
utt_id: rms_a0223, utt_len: 675
utt_id: rms_a0224, utt_len: 655
utt_id: rms_a0225, utt_len: 799
utt_id: rms_a0226, utt_len: 565
utt_id: rms_a0227, utt_len: 783
utt_id: rms_a0228, utt_len: 517
utt_id: rms_a0229, utt_len: 611
utt_id: rms_a0230, utt_len: 575
utt_id: rms_a0231, utt_len: 785
utt_id: rms_a0232, utt_len: 463
utt_id: rms_a0233, utt_len: 689
utt_id: rms_a0234, utt_len: 915
utt_id: rms_a0235, utt_len: 617
utt_id: rms_a0236, utt_len: 385
utt_id: rms_a0238, utt_len: 915
utt_id: rms_a0239, utt_len: 1013
utt_id: rms_a0240, utt_len: 397
utt_id: rms_a0241, utt_len: 489
utt_id: rms_a0242, utt_len: 429
utt_id: rms_a0243, utt_len: 461
utt_id: rms_a0244, utt_len: 737
utt_id: rms_a0245, utt_len: 963
utt_id: rms_a0246, utt_len: 731
utt_id: rms_a0247, utt_len: 513
utt_id: rms_a0248, utt_len: 441
utt_id: rms_a0249, utt_len: 923
utt_id: rms_a0250, utt_len: 999
utt_id: rms_a0251, utt_len: 605
utt_id: rms_a0252, utt_len: 707
utt_id: rms_a0253, utt_len: 785
utt_id: rms_a0254, utt_len: 829
utt_id: rms_a0255, utt_len: 623
utt_id: rms_a0256, utt_len: 713
utt_id: rms_a0257, utt_len: 533
utt_id: rms_a0258, utt_len: 621
utt_id: rms_a0259, utt_len: 473
utt_id: rms_a0260, utt_len: 717
utt_id: rms_a0261, utt_len: 391
utt_id: rms_a0262, utt_len: 621
utt_id: rms_a0263, utt_len: 625
utt_id: rms_a0264, utt_len: 721
utt_id: rms_a0265, utt_len: 741
utt_id: rms_a0266, utt_len: 665
utt_id: rms_a0267, utt_len: 699
utt_id: rms_a0268, utt_len: 905
utt_id: rms_a0269, utt_len: 791
utt_id: rms_a0270, utt_len: 615
utt_id: rms_a0271, utt_len: 593
utt_id: rms_a0272, utt_len: 473
utt_id: rms_a0273, utt_len: 729
utt_id: rms_a0274, utt_len: 759
utt_id: rms_a0275, utt_len: 727
utt_id: rms_a0276, utt_len: 839
utt_id: rms_a0277, utt_len: 875
utt_id: rms_a0278, utt_len: 479
utt_id: rms_a0279, utt_len: 405
utt_id: rms_a0280, utt_len: 623
utt_id: rms_a0282, utt_len: 769
utt_id: rms_a0283, utt_len: 993
utt_id: rms_a0284, utt_len: 799
utt_id: rms_a0285, utt_len: 905
utt_id: rms_a0286, utt_len: 925
utt_id: rms_a0288, utt_len: 609
utt_id: rms_a0289, utt_len: 839
utt_id: rms_a0290, utt_len: 495
utt_id: rms_a0291, utt_len: 865
utt_id: rms_a0292, utt_len: 765
utt_id: rms_a0293, utt_len: 571
utt_id: rms_a0294, utt_len: 689
utt_id: rms_a0295, utt_len: 791
utt_id: rms_a0296, utt_len: 535
utt_id: rms_a0297, utt_len: 847
utt_id: rms_a0298, utt_len: 1105
utt_id: rms_a0299, utt_len: 941
utt_id: rms_a0300, utt_len: 903
utt_id: rms_a0301, utt_len: 621
utt_id: rms_a0302, utt_len: 915
utt_id: rms_a0303, utt_len: 795
utt_id: rms_a0304, utt_len: 547
utt_id: rms_a0305, utt_len: 943
utt_id: rms_a0306, utt_len: 729
utt_id: rms_a0307, utt_len: 721
utt_id: rms_a0309, utt_len: 547
utt_id: rms_a0310, utt_len: 655
utt_id: rms_a0311, utt_len: 471
utt_id: rms_a0312, utt_len: 907
utt_id: rms_a0313, utt_len: 569
utt_id: rms_a0314, utt_len: 661
utt_id: rms_a0315, utt_len: 867
utt_id: rms_a0317, utt_len: 395
utt_id: rms_a0318, utt_len: 733
utt_id: rms_a0319, utt_len: 945
utt_id: rms_a0322, utt_len: 641
utt_id: rms_a0324, utt_len: 807
utt_id: rms_a0325, utt_len: 889
utt_id: rms_a0326, utt_len: 659
utt_id: rms_a0327, utt_len: 847
utt_id: rms_a0328, utt_len: 699
utt_id: rms_a0329, utt_len: 253
utt_id: rms_a0330, utt_len: 679
utt_id: rms_a0331, utt_len: 631
utt_id: rms_a0332, utt_len: 977
utt_id: rms_a0333, utt_len: 435
utt_id: rms_a0334, utt_len: 643
utt_id: rms_a0335, utt_len: 771
utt_id: rms_a0337, utt_len: 895
utt_id: rms_a0338, utt_len: 545
utt_id: rms_a0339, utt_len: 809
utt_id: rms_a0340, utt_len: 451
utt_id: rms_a0341, utt_len: 609
utt_id: rms_a0343, utt_len: 637
utt_id: rms_a0344, utt_len: 665
utt_id: rms_a0345, utt_len: 703
utt_id: rms_a0347, utt_len: 955
utt_id: rms_a0348, utt_len: 605
utt_id: rms_a0349, utt_len: 739
utt_id: rms_a0350, utt_len: 759
utt_id: rms_a0351, utt_len: 339
utt_id: rms_a0352, utt_len: 617
utt_id: rms_a0353, utt_len: 599
utt_id: rms_a0354, utt_len: 545
utt_id: rms_a0355, utt_len: 525
utt_id: rms_a0356, utt_len: 629
utt_id: rms_a0357, utt_len: 811
utt_id: rms_a0358, utt_len: 1053
utt_id: rms_a0359, utt_len: 597
utt_id: rms_a0360, utt_len: 861
utt_id: rms_a0361, utt_len: 693
utt_id: rms_a0363, utt_len: 597
utt_id: rms_a0364, utt_len: 783
utt_id: rms_a0365, utt_len: 633
utt_id: rms_a0366, utt_len: 1145
utt_id: rms_a0367, utt_len: 789
utt_id: rms_a0368, utt_len: 931
utt_id: rms_a0369, utt_len: 1061
utt_id: rms_a0370, utt_len: 719
utt_id: rms_a0371, utt_len: 799
utt_id: rms_a0372, utt_len: 763
utt_id: rms_a0373, utt_len: 585
utt_id: rms_a0374, utt_len: 621
utt_id: rms_a0375, utt_len: 1163
utt_id: rms_a0376, utt_len: 655
utt_id: rms_a0377, utt_len: 831
utt_id: rms_a0378, utt_len: 763
utt_id: rms_a0379, utt_len: 333
utt_id: rms_a0380, utt_len: 1055
utt_id: rms_a0381, utt_len: 357
utt_id: rms_a0382, utt_len: 869
utt_id: rms_a0383, utt_len: 855
utt_id: rms_a0384, utt_len: 707
utt_id: rms_a0385, utt_len: 387
utt_id: rms_a0386, utt_len: 621
utt_id: rms_a0387, utt_len: 1135
utt_id: rms_a0388, utt_len: 473
utt_id: rms_a0389, utt_len: 317
utt_id: rms_a0390, utt_len: 531
utt_id: rms_a0391, utt_len: 833
utt_id: rms_a0392, utt_len: 911
utt_id: rms_a0393, utt_len: 711
utt_id: rms_a0395, utt_len: 949
utt_id: rms_a0396, utt_len: 675
utt_id: rms_a0397, utt_len: 633
utt_id: rms_a0398, utt_len: 1019
utt_id: rms_a0399, utt_len: 391
utt_id: rms_a0400, utt_len: 549
utt_id: rms_a0401, utt_len: 835
utt_id: rms_a0402, utt_len: 947
utt_id: rms_a0403, utt_len: 721
utt_id: rms_a0405, utt_len: 871
utt_id: rms_a0406, utt_len: 679
utt_id: rms_a0407, utt_len: 1343
utt_id: rms_a0408, utt_len: 963
utt_id: rms_a0409, utt_len: 601
utt_id: rms_a0410, utt_len: 873
utt_id: rms_a0412, utt_len: 573
utt_id: rms_a0413, utt_len: 663
utt_id: rms_a0414, utt_len: 481
utt_id: rms_a0415, utt_len: 645
utt_id: rms_a0416, utt_len: 797
utt_id: rms_a0419, utt_len: 577
utt_id: rms_a0420, utt_len: 971
utt_id: rms_a0421, utt_len: 429
utt_id: rms_a0422, utt_len: 943
utt_id: rms_a0423, utt_len: 675
utt_id: rms_a0424, utt_len: 849
utt_id: rms_a0425, utt_len: 763
utt_id: rms_a0426, utt_len: 733
utt_id: rms_a0427, utt_len: 633
utt_id: rms_a0428, utt_len: 585
utt_id: rms_a0429, utt_len: 1123
utt_id: rms_a0430, utt_len: 991
utt_id: rms_a0431, utt_len: 759
utt_id: rms_a0432, utt_len: 575
utt_id: rms_a0434, utt_len: 713
utt_id: rms_a0435, utt_len: 627
utt_id: rms_a0436, utt_len: 601
utt_id: rms_a0437, utt_len: 981
utt_id: rms_a0438, utt_len: 827
utt_id: rms_a0439, utt_len: 807
utt_id: rms_a0440, utt_len: 417
utt_id: rms_a0441, utt_len: 931
utt_id: rms_a0442, utt_len: 577
utt_id: rms_a0443, utt_len: 431
utt_id: rms_a0444, utt_len: 561
utt_id: rms_a0445, utt_len: 477
utt_id: rms_a0447, utt_len: 549
utt_id: rms_a0448, utt_len: 697
utt_id: rms_a0449, utt_len: 799
utt_id: rms_a0450, utt_len: 633
utt_id: rms_a0452, utt_len: 719
utt_id: rms_a0453, utt_len: 455
utt_id: rms_a0455, utt_len: 847
utt_id: rms_a0456, utt_len: 757
utt_id: rms_a0457, utt_len: 631
utt_id: rms_a0458, utt_len: 613
utt_id: rms_a0459, utt_len: 537
utt_id: rms_a0460, utt_len: 521
utt_id: rms_a0461, utt_len: 715
utt_id: rms_a0463, utt_len: 801
utt_id: rms_a0464, utt_len: 1021
utt_id: rms_a0465, utt_len: 697
utt_id: rms_a0466, utt_len: 917
utt_id: rms_a0467, utt_len: 543
utt_id: rms_a0468, utt_len: 733
utt_id: rms_a0469, utt_len: 665
utt_id: rms_a0470, utt_len: 523
utt_id: rms_a0472, utt_len: 1147
utt_id: rms_a0473, utt_len: 459
utt_id: rms_a0474, utt_len: 841
utt_id: rms_a0475, utt_len: 799
utt_id: rms_a0477, utt_len: 769
utt_id: rms_a0478, utt_len: 839
utt_id: rms_a0479, utt_len: 805
utt_id: rms_a0480, utt_len: 417
utt_id: rms_a0481, utt_len: 859
utt_id: rms_a0482, utt_len: 811
utt_id: rms_a0483, utt_len: 797
utt_id: rms_a0484, utt_len: 247
utt_id: rms_a0485, utt_len: 655
utt_id: rms_a0486, utt_len: 537
utt_id: rms_a0487, utt_len: 885
utt_id: rms_a0488, utt_len: 549
utt_id: rms_a0489, utt_len: 519
utt_id: rms_a0490, utt_len: 765
utt_id: rms_a0491, utt_len: 741
utt_id: rms_a0493, utt_len: 625
utt_id: rms_a0494, utt_len: 657
utt_id: rms_a0495, utt_len: 593
utt_id: rms_a0496, utt_len: 585
utt_id: rms_a0497, utt_len: 493
utt_id: rms_a0498, utt_len: 443
utt_id: rms_a0499, utt_len: 613
utt_id: rms_a0500, utt_len: 705
utt_id: rms_a0501, utt_len: 747
utt_id: rms_a0502, utt_len: 1017
utt_id: rms_a0503, utt_len: 895
utt_id: rms_a0504, utt_len: 433
utt_id: rms_a0505, utt_len: 529
utt_id: rms_a0506, utt_len: 711
utt_id: rms_a0507, utt_len: 1131
utt_id: rms_a0508, utt_len: 805
utt_id: rms_a0509, utt_len: 759
utt_id: rms_a0510, utt_len: 933
utt_id: rms_a0511, utt_len: 831
utt_id: rms_a0512, utt_len: 757
utt_id: rms_a0513, utt_len: 729
utt_id: rms_a0514, utt_len: 557
utt_id: rms_a0515, utt_len: 651
utt_id: rms_a0516, utt_len: 525
utt_id: rms_a0517, utt_len: 841
utt_id: rms_a0518, utt_len: 631
utt_id: rms_a0519, utt_len: 891
utt_id: rms_a0520, utt_len: 727
utt_id: rms_a0522, utt_len: 747
utt_id: rms_a0523, utt_len: 751
utt_id: rms_a0525, utt_len: 1157
utt_id: rms_a0526, utt_len: 467
utt_id: rms_a0527, utt_len: 859
utt_id: rms_a0528, utt_len: 577
utt_id: rms_a0529, utt_len: 785
utt_id: rms_a0530, utt_len: 725
utt_id: rms_a0532, utt_len: 519
utt_id: rms_a0533, utt_len: 619
utt_id: rms_a0534, utt_len: 485
utt_id: rms_a0535, utt_len: 753
utt_id: rms_a0537, utt_len: 657
utt_id: rms_a0538, utt_len: 827
utt_id: rms_a0539, utt_len: 807
utt_id: rms_a0540, utt_len: 893
utt_id: rms_a0542, utt_len: 679
utt_id: rms_a0543, utt_len: 1029
utt_id: rms_a0544, utt_len: 583
utt_id: rms_a0545, utt_len: 809
utt_id: rms_a0546, utt_len: 813
utt_id: rms_a0547, utt_len: 911
utt_id: rms_a0548, utt_len: 721
utt_id: rms_a0549, utt_len: 841
utt_id: rms_a0550, utt_len: 615
utt_id: rms_a0551, utt_len: 567
utt_id: rms_a0552, utt_len: 619
utt_id: rms_a0554, utt_len: 865
utt_id: rms_a0555, utt_len: 907
utt_id: rms_a0556, utt_len: 723
utt_id: rms_a0557, utt_len: 483
utt_id: rms_a0558, utt_len: 999
utt_id: rms_a0559, utt_len: 649
utt_id: rms_a0560, utt_len: 747
utt_id: rms_a0561, utt_len: 933
utt_id: rms_a0562, utt_len: 293
utt_id: rms_a0563, utt_len: 725
utt_id: rms_a0564, utt_len: 829
utt_id: rms_a0565, utt_len: 615
utt_id: rms_a0566, utt_len: 879
utt_id: rms_a0567, utt_len: 685
utt_id: rms_a0568, utt_len: 739
utt_id: rms_a0570, utt_len: 1187
utt_id: rms_a0571, utt_len: 681
utt_id: rms_a0572, utt_len: 589
utt_id: rms_a0574, utt_len: 661
utt_id: rms_a0575, utt_len: 677
utt_id: rms_a0576, utt_len: 969
utt_id: rms_a0577, utt_len: 1073
utt_id: rms_a0578, utt_len: 403
utt_id: rms_a0579, utt_len: 411
utt_id: rms_a0580, utt_len: 369
utt_id: rms_a0581, utt_len: 997
utt_id: rms_a0583, utt_len: 883
utt_id: rms_a0584, utt_len: 629
utt_id: rms_a0585, utt_len: 689
utt_id: rms_a0586, utt_len: 559
utt_id: rms_a0587, utt_len: 685
utt_id: rms_a0588, utt_len: 899
utt_id: rms_a0589, utt_len: 431
utt_id: rms_a0590, utt_len: 469
utt_id: rms_a0591, utt_len: 395
utt_id: rms_a0592, utt_len: 629
utt_id: rms_a0593, utt_len: 545
utt_id: rms_b0001, utt_len: 361
utt_id: rms_b0002, utt_len: 683
utt_id: rms_b0003, utt_len: 407
utt_id: rms_b0004, utt_len: 625
utt_id: rms_b0006, utt_len: 791
utt_id: rms_b0007, utt_len: 643
utt_id: rms_b0008, utt_len: 759
utt_id: rms_b0009, utt_len: 679
utt_id: rms_b0010, utt_len: 661
utt_id: rms_b0011, utt_len: 923
utt_id: rms_b0012, utt_len: 723
utt_id: rms_b0013, utt_len: 837
utt_id: rms_b0014, utt_len: 579
utt_id: rms_b0015, utt_len: 515
utt_id: rms_b0016, utt_len: 819
utt_id: rms_b0017, utt_len: 837
utt_id: rms_b0018, utt_len: 497
utt_id: rms_b0019, utt_len: 655
utt_id: rms_b0020, utt_len: 799
utt_id: rms_b0021, utt_len: 527
utt_id: rms_b0022, utt_len: 671
utt_id: rms_b0023, utt_len: 535
utt_id: rms_b0024, utt_len: 625
utt_id: rms_b0025, utt_len: 375
utt_id: rms_b0026, utt_len: 591
utt_id: rms_b0027, utt_len: 775
utt_id: rms_b0028, utt_len: 713
utt_id: rms_b0029, utt_len: 911
utt_id: rms_b0031, utt_len: 1009
utt_id: rms_b0032, utt_len: 425
utt_id: rms_b0033, utt_len: 387
utt_id: rms_b0034, utt_len: 541
utt_id: rms_b0035, utt_len: 671
utt_id: rms_b0036, utt_len: 601
utt_id: rms_b0037, utt_len: 597
utt_id: rms_b0038, utt_len: 851
utt_id: rms_b0039, utt_len: 975
utt_id: rms_b0040, utt_len: 517
utt_id: rms_b0042, utt_len: 793
utt_id: rms_b0043, utt_len: 335
utt_id: rms_b0044, utt_len: 587
utt_id: rms_b0046, utt_len: 847
utt_id: rms_b0047, utt_len: 637
utt_id: rms_b0048, utt_len: 935
utt_id: rms_b0049, utt_len: 853
utt_id: rms_b0050, utt_len: 641
utt_id: rms_b0052, utt_len: 479
utt_id: rms_b0053, utt_len: 695
utt_id: rms_b0054, utt_len: 497
utt_id: rms_b0055, utt_len: 853
utt_id: rms_b0056, utt_len: 771
utt_id: rms_b0057, utt_len: 703
utt_id: rms_b0058, utt_len: 575
utt_id: rms_b0059, utt_len: 719
utt_id: rms_b0060, utt_len: 861
utt_id: rms_b0061, utt_len: 901
utt_id: rms_b0062, utt_len: 485
utt_id: rms_b0063, utt_len: 713
utt_id: rms_b0064, utt_len: 693
utt_id: rms_b0065, utt_len: 843
utt_id: rms_b0067, utt_len: 1017
utt_id: rms_b0068, utt_len: 729
utt_id: rms_b0069, utt_len: 879
utt_id: rms_b0071, utt_len: 583
utt_id: rms_b0072, utt_len: 749
utt_id: rms_b0074, utt_len: 879
utt_id: rms_b0075, utt_len: 757
utt_id: rms_b0076, utt_len: 981
utt_id: rms_b0077, utt_len: 361
utt_id: rms_b0078, utt_len: 899
utt_id: rms_b0079, utt_len: 511
utt_id: rms_b0080, utt_len: 723
utt_id: rms_b0081, utt_len: 701
utt_id: rms_b0082, utt_len: 755
utt_id: rms_b0083, utt_len: 675
utt_id: rms_b0084, utt_len: 469
utt_id: rms_b0085, utt_len: 783
utt_id: rms_b0086, utt_len: 443
utt_id: rms_b0087, utt_len: 695
utt_id: rms_b0088, utt_len: 419
utt_id: rms_b0089, utt_len: 673
utt_id: rms_b0090, utt_len: 845
utt_id: rms_b0091, utt_len: 713
utt_id: rms_b0092, utt_len: 353
utt_id: rms_b0093, utt_len: 491
utt_id: rms_b0094, utt_len: 701
utt_id: rms_b0095, utt_len: 863
utt_id: rms_b0096, utt_len: 653
utt_id: rms_b0097, utt_len: 529
utt_id: rms_b0098, utt_len: 987
utt_id: rms_b0099, utt_len: 737
utt_id: rms_b0100, utt_len: 791
utt_id: rms_b0103, utt_len: 833
utt_id: rms_b0104, utt_len: 905
utt_id: rms_b0105, utt_len: 713
utt_id: rms_b0106, utt_len: 809
utt_id: rms_b0107, utt_len: 601
utt_id: rms_b0108, utt_len: 683
utt_id: rms_b0109, utt_len: 859
utt_id: rms_b0111, utt_len: 485
utt_id: rms_b0113, utt_len: 717
utt_id: rms_b0114, utt_len: 719
utt_id: rms_b0115, utt_len: 647
utt_id: rms_b0116, utt_len: 667
utt_id: rms_b0118, utt_len: 751
utt_id: rms_b0119, utt_len: 519
utt_id: rms_b0120, utt_len: 711
utt_id: rms_b0121, utt_len: 569
utt_id: rms_b0122, utt_len: 889
utt_id: rms_b0123, utt_len: 957
utt_id: rms_b0124, utt_len: 943
utt_id: rms_b0125, utt_len: 909
utt_id: rms_b0126, utt_len: 875
utt_id: rms_b0127, utt_len: 745
utt_id: rms_b0128, utt_len: 491
utt_id: rms_b0129, utt_len: 569
utt_id: rms_b0131, utt_len: 767
utt_id: rms_b0132, utt_len: 875
utt_id: rms_b0133, utt_len: 543
utt_id: rms_b0134, utt_len: 485
utt_id: rms_b0135, utt_len: 429
utt_id: rms_b0136, utt_len: 607
utt_id: rms_b0138, utt_len: 601
utt_id: rms_b0140, utt_len: 997
utt_id: rms_b0141, utt_len: 825
utt_id: rms_b0143, utt_len: 637
utt_id: rms_b0144, utt_len: 711
utt_id: rms_b0145, utt_len: 701
utt_id: rms_b0146, utt_len: 715
utt_id: rms_b0147, utt_len: 633
utt_id: rms_b0148, utt_len: 939
utt_id: rms_b0149, utt_len: 733
utt_id: rms_b0150, utt_len: 745
utt_id: rms_b0151, utt_len: 447
utt_id: rms_b0152, utt_len: 501
utt_id: rms_b0153, utt_len: 859
utt_id: rms_b0154, utt_len: 431
utt_id: rms_b0155, utt_len: 691
utt_id: rms_b0156, utt_len: 923
utt_id: rms_b0157, utt_len: 765
utt_id: rms_b0158, utt_len: 807
utt_id: rms_b0160, utt_len: 843
utt_id: rms_b0161, utt_len: 657
utt_id: rms_b0162, utt_len: 829
utt_id: rms_b0163, utt_len: 763
utt_id: rms_b0164, utt_len: 505
utt_id: rms_b0165, utt_len: 725
utt_id: rms_b0166, utt_len: 345
utt_id: rms_b0167, utt_len: 987
utt_id: rms_b0168, utt_len: 753
utt_id: rms_b0169, utt_len: 661
utt_id: rms_b0170, utt_len: 409
utt_id: rms_b0173, utt_len: 523
utt_id: rms_b0174, utt_len: 949
utt_id: rms_b0175, utt_len: 485
utt_id: rms_b0177, utt_len: 735
utt_id: rms_b0178, utt_len: 431
utt_id: rms_b0180, utt_len: 521
